"Timestamp","What age range are you?","What is your gender?","What actions do you take regarding your health?","How would you rate your health?","Have you ever tracked your health and/or fitness?","Why do you not track your health and/or fitness?","How do you generally like to keep track of activities?","Which of the following did you keep track of? (Select all that apply.) ","What did you use to record your health and/or fitness? (Select all that apply.) ","If you used any app or device, could you tell us which one(s)? ","Why did you stop tracking your health and/or fitness?","Is there anything you liked about your health and/or fitness tracking method before you stopped? ","Who viewed your health and/or fitness information?","How was your health and/or fitness information used? ","What, if anything, has been helpful about the information you tracked? ","What would motivate you to track your health and/or fitness again?","Which of the following do you keep track of? (Select all that apply.) ","What do you use to record your health and/or fitness? (Select all that apply.) ","If you use any app or device, could you tell us which one(s)? ","Why do you track your health and/or fitness?","Is there anything you like about your current health and/or fitness tracking method?","In the last 30 days, how often have you tracked your health and/or fitness? ","Who views your health and/or fitness information?","How is your health and/or fitness information being used? ","What, if anything, has been helpful about the information you tracked? ","Is there anything that could be better about your current health and/or fitness tracking method?"
"2020/07/18 11:40:37 AM EST","18 - 24","Man","Take medication and/or health supplements;Exercise;Maintain a diet;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake","Pen and Paper;Mobile App","MyFitnessPal, Excel, scale","Bodybuilding ","Fidelity of quantitative metrics ","Everyday","Myself","To adjust my food intake and workout planning. Overall adjust body composition and overall fitness ","Not sure what this question means","More accurate measurements, meal planning, coordination with other health metrics "
"2020/07/18 1:00:04 PM EST","18 - 24","Man","Exercise","3","No","Keep forgetting / Too much effort to do","On a excel sheet / on my phone","","","","","","","","","","","","","","","","","","",""
"2020/07/18 1:51:15 PM EST","25 - 34","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","1","Yes and I am currently still tracking","","","","","","","","","","","","Mood;Food / Calories Intake;Pain (e.g. Headache, Muscle pain, Joint pain);Menstrual cycle","Mobile App","Flo, MyFitnessPal (used intermittently)","I have PMDD and possibly endometriosis, so tracking helps me know what to expect from those. Recently I've been tracking my calories some because I gained a little weight.","I like the wide variety of symptoms Flo lets me enter.","I use Flo monthly but mostly only during the luteal phase and my period. I just started using MFP again this week and am not consistent yet, so hard to say how frequently I'll use it.","Myself","To lose weight, to figure out good portion sizes for food, to record any relevant info about my cycle for my doctors, to see if my reproductive disorders are changing at all, and to know when I'm in a PMDD episode","Flo: Knowing when PMDD is happening based on the symptoms I've logged and that date of my last period. MFP: Connecting portion sizes that I can see to how many calories they actually have so I can get a better idea of what I should be eating.","MFP sometimes have food with seemingly inaccurate calories, so monitoring the food people add to it more closely might be a good idea."
"2020/07/18 1:51:44 PM EST","55 - 64","Woman","Take medication and/or health supplements;Exercise;Track your health and/or fitness","5","No","No need.  I live a healthy lifestyle.","I don't","","","","","","","","","","","","","","","","","","",""
"2020/07/18 2:09:42 PM EST","35 - 44","Woman","Take medication and/or health supplements;Maintain a diet;Track your health and/or fitness","1","Yes and I am currently still tracking","","","","","","","","","","","","Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Energy level","Mobile App","Daylio, Eve","To see if there's any patterns and to keep a record. ","Ability to personalise activities (daylio. I use the 'mood tracker' for energy level instead of mood) ","5-6 times / week","Myself","It's not really - I just look at it myself sometimes to see how often certain activities have been done, if I'm doing more or less of something or more or less of some symptoms","It was good to see if there was a pattern but usually there wasnt","More options/ability to personalise symptoms on eve - sweats, seizures, altered sleep pattern for example

More information gathered by daylio on effect on mood (or energy levels in my case) - for example if there were several activities I did that affected it, or ability to see more than one 'activity' (or symptom, as is sometimes the case, how I use it) to show patterns

Automatically be able to see PMS symptoms just before period begins on Eve, rather than automatically not being able to see them once your period starts

If there was actually an app dedicated to tracking ME symptoms that would be more helpful "
"2020/07/18 3:16:39 PM EST","65 or older","Man","Take medication and/or health supplements;Exercise","4","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Medication","Pen and Paper","Blood pressure device. ","Recovering from liver issues","I feel I am taking personal initiative and not depending entirely on meds or constant Dr. input ","3-4 times / week","Myself;My Doctor","Treatment and meds","Feel better. ","No. Don’t want be over. obsessive about it. "
"2020/07/18 3:26:34 PM EST","25 - 34","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Maintain a diet;Track your health and/or fitness","4","Yes and I am currently still tracking","","","","","","","","","","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Mobile App","Fitbit","Awareness and accountability of health","Long lasting battery, doesn't require a lot of effort to track information","Everyday","Myself;My Friends;Family","Personal awareness, encouraging family and friends to practice healthy habits","Awareness about days I could do better, top activity days remind me of when I did a cool activity or were on vacation. ","I don't really use any of the manual features (water, nutrition, mood). While I'd be interested in some of these, I wish it didn't feel like such a chore to track them."
"2020/07/18 3:48:05 PM EST","18 - 24","Man","Exercise;Maintain a diet;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","3","Yes and I am currently still tracking","","","","","","","","","","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Skin Problems (e.g. Rash, Acne, Nail loss)","Pen and Paper","","Because I used to not, and I'm making a change","Its simple.","5-6 times / week","Myself;Family","Tracking to plan for the future.","Helps to establish baselines and what seems to be effective.","Observing more facets for more information, but what I have now is fine."
"2020/07/18 5:13:37 PM EST","65 or older","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Maintain a diet;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","5","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Blood pressure monitor ","Fitbit ","To keep healthy ","Na","Everyday","Myself;My Doctor","Na","Trends","Not sure "
"2020/07/18 6:29:52 PM EST","18 - 24","Prefer not to say","Exercise;Maintain a diet;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake","Spreadsheet / Google docs file ","PC (used to use mobile for myfitnesspal but stopped as it was easier just to use my PC)","I have had weight issues in the past and now really enjoy endurance sports but need a method to make sure the numbers are going up and that I have something resembling a training plan to follow / to monitor my general fitness level at any given time ","It gets the job done, it's not time consuming, it's customisable to how I use it / want to use it since it is largely made by myself ","Everyday","Myself","I am using it as a reference to look over","Weight management ","I am limited by what I can think to track and the methods by which I track it (I kind of want a heart rate monitor but have heard mixed things getting a good one like a smartwatch style - I will probably want to wait until smartwatch style ones are as good as monitoring as proper ones right now (if that is possible))"
"2020/07/18 8:17:52 PM EST","18 - 24","Non-Binary","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Receive mental counseling;Learn more about your health (e.g. from online, friends or community)","4","Yes, I have tracked before but not in the last 30 days","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Mood;Medication","Pen and Paper;Mobile App","Samsung Health ","I've been stuck in my house for the past several months.","It was interesting seeing the correlation between exercise and my mental health.","Myself","To inform my daily decisions and evaluate how best to fit exercise into my lifestyle.","Not that I can think of.","Being out of the house.","","","","","","","","","",""
"2020/07/18 8:27:28 PM EST","65 or older","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Food / Calories Intake","Mobile App","MyFitnessPal","To lose weight ","Easy to use; it has scanner for purchased foods and extensive listings for others; I can easily find things I eat regularly.","Everyday","Myself","To keep food intake at specific calorie level","I see that if I don’t “cheat” and stay within my calorie goal, I lose weight!","Not that I think of"
"2020/07/18 10:54:37 PM EST","18 - 24","Woman","Exercise;Maintain a diet","3","Yes, I have tracked before but not in the last 30 days","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Pen and Paper","","Because I am slacking off","No","Myself","To improve my exercise and diet","N/A","Have a cool wearable","","","","","","","","","",""
"2020/07/18 11:30:03 PM EST","18 - 24","Woman","Exercise;Track your health and/or fitness;Receive mental counseling","4","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);Menstrual cycle","Wearable;Mobile App","Apple Watch, Clue","It motivates me to get exercise and reach a caloric goal.","My watch's fitness tracker is customized to my weight and caloric needs. There's also an option to compete with friends, which gives me extra motivation.","Everyday","Myself;My Friends","So that I can keep track and my friends can compare their exercise to mine","It tells me if I've met my daily goal or not and gives me reminders when I'm short of my goal with suggestions on how to reach it (eg. take a brisk walk)","I wish it could track my food intake and give me a custom plan for how many calories to burn per day to reach a weight loss goal"
"2020/07/18 11:50:55 PM EST","25 - 34","Woman","Take medication and/or health supplements;Track your health and/or fitness;Receive mental counseling","3","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable","Fitbit ","To try to improve my health and gain motivation to exercise ","Reminders to take more steps and guided fitness programs","Everyday","Myself","Just myself","Trends in overall activity level such as steps and heart rate during workouts","Device longevity since it recently stopped working. "
"2020/07/18 11:50:57 PM EST","25 - 34","Man","Exercise;Maintain a diet;Learn more about your health (e.g. from online, friends or community)","3","Yes, I have tracked before but not in the last 30 days","","","Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake","Pen and Paper","","Lazy","Na","Myself","Na","Na","Na","","","","","","","","","",""
"2020/07/18 11:56:03 PM EST","55 - 64","Man","Take medication and/or health supplements;Exercise","3","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Medication","Mobile App","Pacer","To do better the next time","It saves my fitness records","3-4 times / week","Myself","Personal use","Tracks my total distances and calories","Need to include the weather conditions and temperatures for each session"
"2020/07/19 12:18:24 AM EST","65 or older","Man","Exercise","4","No","Fairly fit and a bit lazy","Don't, do chores around the house and play racquet sports","","","","","","","","","","","","","","","","","","",""
"2020/07/19 2:29:42 AM EST","25 - 34","Woman","Exercise;Track your health and/or fitness","4","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Mobile App","Apple Watch ","Apple Watch ","Convenient ","1-2 times / week","Myself","None","None","None"
"2020/07/19 2:49:12 AM EST","25 - 34","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Track your health and/or fitness;Receive mental counseling;Learn more about your health (e.g. from online, friends or community)","2","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable","apple watch","maintain regular output","convenient, integrated","Everyday","Myself;My Friends","monitoring","weight management","mood measurement"
"2020/07/19 3:38:41 AM EST","25 - 34","Woman","Take medication and/or health supplements;Maintain a diet","4","Yes, I have tracked before but not in the last 30 days","","","Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Skin Problems (e.g. Rash, Acne, Nail loss)","Wearable;Mobile App","Health App on iphone, fitbit","Lazy","Accurate result and also simple to track","Myself;My Friends","To plan the next step - how much exercise to do ","Helps me lose weight","Some accomplishments that i receive while tracking ","","","","","","","","","",""
"2020/07/19 5:01:45 AM EST","25 - 34","Woman","Take medication and/or health supplements;Exercise;Maintain a diet;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Food / Calories Intake;Menstrual cycle","Mobile App","Yazio, Clue ","Helps me to understand myself better & helps me to stay under the daily calorie limit ","Easy, quick, intuitive, free","5-6 times / week","Myself","I just take a look at it myself sometimes to see possible trends or patterns ","Made it easier to understand myself and to keep track of my menstrual cycle","Clue has really started to push their subscription options lately which annoys me. Enough is enough already. "
"2020/07/19 6:29:02 AM EST","25 - 34","Woman","Take medication and/or health supplements;Exercise;Track your health and/or fitness","3","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);Skin Problems (e.g. Rash, Acne, Nail loss)","Mobile App","samsung health","awareness","trend","Once or twice","Myself","myself only","trend","no"
"2020/07/19 6:33:58 AM EST","25 - 34","Woman","Exercise;Maintain a diet","3","No","Lazy","Never","","","","","","","","","","","","","","","","","","",""
"2020/07/19 6:45:33 AM EST","25 - 34","Man","Exercise;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Pain (e.g. Headache, Muscle pain, Joint pain)","Mobile App","","AIA Connect for rewards earning","Easy to understand the data","3-4 times / week","Myself;Insurance Company","Monthly basis","Pop up notification","NA"
"2020/07/19 7:23:51 AM EST","Under 18","Woman","Take medication and/or health supplements;Exercise;Track your health and/or fitness","3","Yes and I am currently still tracking","","","","","","","","","","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Mood","Mobile App","Samsung Health, Adidas Running","Understand the effectiveness of exercise","I can set goals personally
","3-4 times / week","Myself;My Doctor","I will amend my fitness plan","Na","If covid 19 is over it will help my current health because fitness room will be available for use and I can do weightlifting...etc"
"2020/07/19 7:28:01 AM EST","45 - 54","Man","Exercise","3","No","Doesn’t care","Not care","","","","","","","","","","","","","","","","","","",""
"2020/07/19 7:44:36 AM EST","35 - 44","Man;Woman","Exercise","4","Yes, I have tracked before but not in the last 30 days","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Weight training schedule","Pen and Paper;Mobile App","Google notes","Medical conditions were are one-off. Exercise/running schedule was for race preparation; not maintaining a particular schedule after","Intuitive ","Myself;My Doctor","Medical. 
Race prep","Easy to track and access","If any specific fitness goals","","","","","","","","","",""
"2020/07/19 8:07:24 AM EST","35 - 44","Man","Exercise","4","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Mobile App","garmin watch, Strava","to see improvement in numbers, to compete with friends","can see what friends have been doing compared to me, which can be an incentive to go harder","3-4 times / week","Myself;My Friends","pass","times and speeds, and the trends of them","price"
"2020/07/19 8:17:41 AM EST","55 - 64","Man","None of the above","4","No","Busy and no time","No","","","","","","","","","","","","","","","","","","",""
"2020/07/19 8:47:19 AM EST","25 - 34","Man","Take medication and/or health supplements;Exercise","3","Yes, I have tracked before but not in the last 30 days","","","Food / Calories Intake;Pain (e.g. Headache, Muscle pain, Joint pain)","Wearable;Mobile App","myfitnesspal, xiaomi","achievement met ","accountability ","Myself","reflection ","monitors and track record","new goal","","","","","","","","","",""
"2020/07/19 9:27:52 AM EST","25 - 34","Man","Exercise;Maintain a diet;Track your health and/or fitness","3","Yes and I am currently still tracking","","","","","","","","","","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Mood;Food / Calories Intake;Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Respiratory Problems (e.g. Cough, Shortness of breath)","Balance","","To stay fit","Na","3-4 times / week","Myself","Na","NA","Na"
"2020/07/19 9:49:36 AM EST","18 - 24","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise","4","Yes, I have tracked before but not in the last 30 days","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Mood;Food / Calories Intake;Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Urinary/Fecal Problems","Mobile App","MyFitnessPal, Clue","Too tedious","The gaphs","Myself","Just for my own information","Knowing how many calories i eat","easier way","","","","","","","","","",""
"2020/07/19 10:15:59 AM EST","25 - 34","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Track your health and/or fitness;Receive mental counseling;Learn more about your health (e.g. from online, friends or community)","2","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable","apple watch","maintain regular output","convenient, integrated","Everyday","Myself;My Friends","monitoring","weight management","mood measurement"
"2020/07/19 10:51:57 AM EST","25 - 34","Woman","Exercise;Maintain a diet;Learn more about your health (e.g. from online, friends or community)","3","No","Lazy","One that does not take much effort","","","","","","","","","","","","","","","","","","",""
"2020/07/19 11:12:37 AM EST","65 or older","Man","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Track your health and/or fitness","4","Yes, I have tracked before but not in the last 30 days","","","temperature","Pen and Paper","","My temperature never changed significantly","it was quick","No One","check for covid19","I probably don't have covid19","If I suspected I had been exposed to covid19","","","","","","","","","",""
"2020/07/19 11:47:00 AM EST","25 - 34","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Maintain a diet","3","Yes, I have tracked before but not in the last 30 days","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Mobile App","Apple Watch & iPhone","Watch malfunctioned and iPhone tracked sleep if bedtime alarm was scheduled.  Haven’t had the alarm on since pandemic closures.","Both were easy to use.","Myself","For self-awareness","Made sure I reached a certain number of steps, calories burned.","If someone paid me","","","","","","","","","",""
"2020/07/19 12:24:18 PM EST","65 or older","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Maintain a diet;Track your health and/or fitness","4","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Exercise (e.g. Steps taken, Distance, Calories burned)","Pen and Paper;Mobile App","2 free spps on android phone health and fitness","Monitor exercise ","Free and automatic ","Everyday","Myself;Cv at the clinic","To monitor and improve ","Motivates me to get daily exercise","Probably "
"2020/07/19 1:38:57 PM EST","18 - 24","Man","Take medication and/or health supplements;Exercise","4","No","Never thought about it ","I have memory like an elephant so i keep track in my head ","","","","","","","","","","","","","","","","","","",""
"2020/07/19 2:05:04 PM EST","18 - 24","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Menstrual cycle","Wearable;Mobile App","Flo (menstrual cycle tracking)","To see when my next period will be","For menstrual cycle, the app Flo uses smart predicting to notify you when your next period is expected to happen","1-2 times / week","Myself","I'm not sure","I can see past logged periods and find any irregularities","No"
"2020/07/19 6:47:34 PM EST","45 - 54","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise","4","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Medication;Medication Side Effects;Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Skin Problems (e.g. Rash, Acne, Nail loss);Urinary/Fecal Problems","Mobile App","Pacer ","To encourage you to keep and maintain good eating, sleep and good habits over period of time.","Improving from TM","1-2 times / week","Myself;My Doctor","Through MyChart","Yes","Tracked my heart rate, blood pressure and calories "
"2020/07/19 9:33:00 PM EST","25 - 34","Woman","Exercise","4","No","Not sure how to","Not applicable","","","","","","","","","","","","","","","","","","",""
"2020/07/19 9:34:08 PM EST","18 - 24","Man","Exercise;Maintain a diet;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Skin Problems (e.g. Rash, Acne, Nail loss)","Wearable","Apple Watch ","For personal knowledge ","Linked to my phone for easy viewing ","3-4 times / week","Myself","Personal knowledge ","Calories burnt ","Good as is "
"2020/07/19 9:49:12 PM EST","45 - 54","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Learn more about your health (e.g. from online, friends or community)","3","Yes, I have tracked before but not in the last 30 days","","","Medication;Pain (e.g. Headache, Muscle pain, Joint pain)","Mobile App","I phone health","Lazy","Curious and want to check it out","Myself","Personal knowledge "," Clear data and it can be self explainatory ","User friendly, simple and easy to understand","","","","","","","","","",""
"2020/07/19 10:31:50 PM EST","25 - 34","Man","Receive regular treatment and/or consultation at clinic;Exercise;Maintain a diet","2","No","Too busy","Monitor change in body size","","","","","","","","","","","","","","","","","","",""
"2020/07/19 10:35:56 PM EST","45 - 54","Man","Exercise","3","No","Doesn’t care","Not care","","","","","","","","","","","","","","","","","","",""
"2020/07/20 12:05:08 AM EST","45 - 54","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Learn more about your health (e.g. from online, friends or community)","3","Yes, I have tracked before but not in the last 30 days","","","Medication;Pain (e.g. Headache, Muscle pain, Joint pain)","Mobile App","I phone health","Lazy","Curious and want to check it out","Myself","Personal knowledge "," Clear data and it can be self explainatory ","User friendly, simple and easy to understand","","","","","","","","","",""
